gene_name	number_of_transposon_per_gene	number_of_read_pergene
ACH1 	96 	6779 	
RRN6 	26 	1057 	
FMT1 	80 	37165 	
YBL012C 	27 	2670 	
SCT1 	123 	9924 	
YBL010C 	38 	3327 	
ALK2 	113 	12838 	
YBL008W-A 	15 	317 	
HIR1 	127 	7311 	
SLA1 	61 	2263 	
LDB7 	26 	2053 	
YBL006W-A 	11 	349 	
PDR3 	164 	9980 	
UTP20 	10 	230 	
HTA2 	33 	3166 	
HTB2 	42 	8392 	
ECM15 	29 	7766 	
NTH2 	211 	30042 	
RER2 	9 	503 	
COQ1 	122 	11890 	
GPI18 	5 	91 	
RCR1 	64 	15013 	
UGA2 	117 	17127 	
DSF2 	146 	27184 	
FLR1 	123 	11102 	
HHF1 	11 	235 	
HHT1 	30 	1157 	
IPP1 	12 	421 	
YBR012C 	20 	469 	
YBR013C 	39 	2546 	
GRX7 	20 	1717 	
MNN2 	69 	6021 	
YBR016W 	24 	1804 	
KAP104 	10 	464 	
GAL7 	2 	1 	
GAL10 	26 	1163 	
GAL1 	5 	23 	
FUR4 	53 	3152 	
POA1 	22 	1667 	
CHS3 	55 	2813 	
SCO2 	33 	1609 	
OLA1 	49 	2492 	
ETR1 	27 	1084 	
YBR027C 	15 	1820 	
YPK3 	62 	1317 	
CDS1 	0 	0 	
RKM3 	26 	1271 	
RPL4A 	6 	105 	
YBR032W 	23 	1783 	
EDS1 	100 	4643 	
HMT1 	31 	1785 	
PDX3 	15 	558 	
CSG2 	19 	555 	
SCO1 	34 	1541 	
CHS2 	25 	829 	
ATP3 	9 	142 	
FIG1 	7 	365 	
FAT1 	48 	1294 	
CST26 	44 	859 	
QDR3 	36 	1239 	
TCM62 	46 	1752 	
GIP1 	42 	1641 	
ZTA1 	32 	1202 	
FMP23 	24 	1718 	
RPS11B 	12 	266 	
REB1 	3 	14 	
REG2 	36 	1509 	
YBR051W 	9 	140 	
RFS1 	19 	653 	
YBR053C 	32 	1494 	
YRO2 	26 	951 	
PRP6 	16 	1562 	
YBR056W 	29 	1979 	
YBR056W-A 	15 	557 	
YBR056C-B 	12 	467 	
MUM2 	23 	1224 	
UBP14 	29 	975 	
TSC3 	1 	0 	
AKL1 	49 	3161 	
ORC2 	12 	211 	
TRM7 	16 	871 	
YBR062C 	11 	773 	
YBR063C 	21 	701 	
YBR064W 	4 	101 	
ECM2 	42 	1046 	
NRG2 	15 	769 	
TIP1 	6 	36 	
BAP2 	32 	1287 	
TAT1 	12 	60 	
ALG14 	1 	0 	
YBR071W 	34 	1575 	
HSP26 	8 	38 	
YBR072C-A 	16 	1518 	
RDH54 	53 	2260 	
PFF1 	52 	2812 	
ECM8 	27 	1498 	
YBR076C-A 	14 	847 	
SLM4 	20 	346 	
ECM33 	39 	2309 	
RPG1 	10 	207 	
SEC18 	4 	132 	
SPT7 	30 	929 	
UBC4 	9 	538 	
TEC1 	27 	727 	
MIS1 	53 	4359 	
RPL19A 	22 	1533 	
AAC3 	13 	723 	
YBR085C-A 	5 	176 	
IST2 	36 	719 	
RFC5 	1 	0 	
POL30 	0 	0 	
YBR089W 	1 	0 	
NHP6B 	22 	505 	
YBR090C 	31 	489 	
TIM12 	0 	0 	
PHO3 	22 	1097 	
PHO5 	18 	612 	
PBY1 	38 	1299 	
RXT2 	12 	95 	
YBR096W 	10 	111 	
VPS15 	22 	538 	
MMS4 	39 	1156 	
YBR099C 	12 	520 	
FES1 	7 	235 	
EXO84 	21 	784 	
SIF2 	14 	967 	
YBR103C-A 	16 	933 	
YMC2 	37 	1213 	
VID24 	21 	1141 	
PHO88 	11 	706 	
IML3 	14 	201 	
AIM3 	57 	3367 	
CMD1 	0 	0 	
YBR109W-A 	18 	1977 	
ALG1 	0 	0 	
YSA1 	15 	534 	
SUS1 	4 	64 	
CYC8 	8 	104 	
YBR113W 	3 	14 	
RAD16 	37 	2583 	
LYS2 	40 	1296 	
YBR116C 	19 	643 	
TKL2 	37 	1966 	
TEF2 	2 	6 	
MUD1 	14 	274 	
CBP6 	5 	15 	
GRS1 	0 	0 	
YBR121C-A 	0 	0 	
MRPL36 	10 	418 	
TFC1 	5 	78 	
YBR124W 	12 	745 	
PTC4 	24 	1303 	
TPS1 	11 	147 	
YBR126W-A 	23 	1142 	
YBR126W-B 	16 	827 	
VMA2 	7 	244 	
ATG14 	26 	1418 	
OPY1 	14 	373 	
SHE3 	9 	321 	
CCZ1 	12 	84 	
YBR131C-A 	0 	0 	
AGP2 	22 	604 	
HSL7 	45 	2317 	
YBR134W 	19 	1447 	
CKS1 	1 	0 	
MEC1 	9 	97 	
YBR137W 	16 	218 	
YBR138C 	31 	1555 	
YBR139W 	31 	855 	
IRA1 	27 	525 	
BMT2 	19 	470 	
YBR141W-A 	1 	0 	
MAK5 	3 	15 	
SUP45 	0 	0 	
YBR144C 	12 	2411 	
ADH5 	17 	1223 	
MRPS9 	10 	213 	
RTC2 	14 	675 	
YSW1 	35 	1446 	
ARA1 	18 	986 	
TBS1 	34 	1206 	
APD1 	13 	379 	
SPP381 	14 	173 	
RIB7 	1 	0 	
RPB5 	1 	0 	
CNS1 	2 	1 	
SLI15 	6 	46 	
ICS2 	13 	435 	
AMN1 	31 	1369 	
IFA38 	4 	5 	
CDC28 	0 	0 	
CSH1 	7 	25 	
TOS1 	24 	1660 	
YSY6 	2 	1 	
EXO5 	23 	647 	
ARL1 	6 	97 	
UBS1 	6 	192 	
TYR1 	10 	92 	
POP7 	0 	0 	
PEX32 	17 	269 	
SSE2 	17 	310 	
NPL4 	9 	707 	
SEC66 	9 	253 	
SMY2 	28 	727 	
UMP1 	7 	51 	
YBR174C 	6 	723 	
SWD3 	8 	154 	
ECM31 	17 	438 	
EHT1 	24 	667 	
YBR178W 	19 	259 	
FZO1 	14 	252 	
DTR1 	23 	474 	
RPS6B 	5 	53 	
SMP1 	22 	632 	
YBR182C-A 	3 	14 	
YPC1 	20 	663 	
YBR184W 	22 	729 	
MBA1 	7 	74 	
PCH2 	29 	3143 	
GDT1 	8 	206 	
NTC20 	11 	267 	
RPS9B 	4 	3 	
YBR190W 	19 	552 	
RPL21A 	7 	24 	
YBR191W-A 	0 	0 	
RIM2 	7 	57 	
MED8 	1 	0 	
AIM4 	8 	131 	
MSI1 	18 	1120 	
PGI1 	0 	0 	
YBR196C-A 	20 	348 	
YBR196C-B 	11 	473 	
YBR197C 	56 	8561 	
TAF5 	0 	0 	
KTR4 	11 	532 	
BEM1 	9 	532 	
YBR200W-A 	0 	0 	
DER1 	7 	140 	
YBR201C-A 	5 	253 	
MCM7 	7 	130 	
COS111 	27 	1573 	
LDH1 	16 	680 	
KTR3 	19 	643 	
YBR206W 	7 	38 	
FTH1 	27 	939 	
DUR1
YBR209W 	34 	1246 	
ERV15 	5 	79 	
AME1 	3 	47 	
NGR1 	16 	308 	
MET8 	38 	2622 	
SDS24 	21 	1044 	
HPC2 	21 	464 	
YBP1 	25 	1008 	
ATG12 	5 	27 	
PYC2 	43 	1815 	
YBR219C 	47 	2541 	
YBR220C 	45 	2500 	
PDB1 	15 	525 	
YBR221W-A 	11 	1726 	
PCS60 	78 	5394 	
TDP1 	45 	3257 	
YBR223W-A 	5 	765 	
YBR224W 	25 	1838 	
YBR225W 	19 	164 	
YBR226C 	3 	7 	
MCX1 	15 	581 	
SLX1 	14 	519 	
ROT2 	22 	376 	
