gene_name	number_of_transposon_per_gene	number_of_read_pergene
GRX6 	40 	1697 	
YDL009C 	12 	159 	
APC11 	13 	1082 	
YDL007C-A 	15 	581 	
RPT2 	2 	1 	
PTC1 	20 	959 	
MED2 	42 	1056 	
ATP16 	21 	563 	
MCD1 	8 	644 	
NHP10 	58 	7221 	
RMD1 	119 	31161 	
NTH1 	226 	28878 	
YRB1 	3 	5 	
RCR2 	54 	4570 	
YDR003W-A 	6 	209 	
RAD57 	69 	2232 	
MAF1 	42 	1993 	
SOK1 	86 	4082 	
TRP1 	51 	3726 	
YDR008C 	29 	3480 	
GAL3 	95 	5998 	
YDR010C 	26 	19009 	
SNQ2 	173 	11307 	
RPL4B 	22 	419 	
PSF1 	1 	0 	
RAD61 	58 	1713 	
HED1 	25 	1166 	
YDR015C 	11 	689 	
DAD1 	3 	12 	
KCS1 	65 	3076 	
YDR018C 	90 	8474 	
GCV1 	73 	5114 	
DAS2 	32 	2912 	
FAL1 	1 	0 	
ATG31 	16 	695 	
SES1 	4 	99 	
FYV1 	23 	2883 	
RPS11A 	13 	206 	
NSI1 	59 	3988 	
VPS54 	26 	1029 	
REG1 	46 	1564 	
YDR029W 	8 	50 	
RAD28 	37 	2742 	
MIX14 	2 	20 	
PST2 	25 	897 	
MRH1 	27 	1426 	
LYS14 	23 	868 	
YDR034C-A 	7 	44 	
YDR034W-B 	3 	2 	
ARO3 	27 	874 	
EHD3 	43 	2116 	
KRS1 	3 	5 	
ENA5 	27 	1818 	
ENA2 	0 	0 	
ENA1 	16 	744 	
RSM10 	11 	330 	
YDR042C 	6 	13 	
NRG1 	18 	536 	
HEM13 	0 	0 	
RPC11 	2 	1 	
BAP3 	34 	2325 	
HEM12 	2 	1 	
YDR048C 	11 	235 	
VMS1 	20 	401 	
TPI1 	0 	0 	
DET1 	30 	2082 	
DBF4 	1 	0 	
YDR053W 	0 	0 	
CDC34 	3 	2 	
PST1 	26 	1538 	
YDR056C 	19 	523 	
YOS9 	37 	2554 	
TGL2 	17 	459 	
UBC5 	19 	904 	
MAK21 	11 	492 	
YDR061W 	30 	1438 	
LCB2 	2 	1 	
AIM7 	9 	265 	
RPS13 	0 	0 	
RRG1 	17 	530 	
RTR2 	20 	696 	
OCA6 	14 	322 	
DOS2 	13 	145 	
DOA4 	1 	0 	
FMP16 	2 	6 	
PAA1 	10 	227 	
IPT1 	44 	4968 	
SNF11 	21 	778 	
TPS2 	7 	239 	
PPH3 	10 	465 	
RAD55 	26 	878 	
SED1 	9 	419 	
SHU2 	18 	779 	
PET100 	8 	85 	
TFB5 	3 	39 	
VPS41 	18 	179 	
PDC2 	7 	10 	
STN1 	5 	160 	
RRP8 	15 	483 	
TVP23 	15 	914 	
AFR1 	25 	851 	
SSS1 	0 	0 	
RRP1 	1 	0 	
SLU7 	8 	58 	
YDR089W 	61 	3825 	
YDR090C 	13 	758 	
RLI1 	0 	0 	
UBC13 	21 	820 	
DNF2 	173 	13333 	
YDR094W 	38 	5157 	
YDR095C 	26 	1733 	
GIS1 	33 	1775 	
MSH6 	43 	1641 	
GRX3 	16 	1226 	
BMH2 	40 	2007 	
TVP15 	16 	1300 	
ARX1 	30 	902 	
YDR102C 	14 	546 	
STE5 	26 	775 	
SPO71 	34 	1533 	
TMS1 	29 	1892 	
ARP10 	19 	351 	
TMN2 	25 	608 	
TRS85 	23 	1501 	
YDR109C 	33 	1058 	
FOB1 	32 	1642 	
ALT2 	44 	1660 	
IRC2 	16 	775 	
PDS1 	9 	88 	
YDR114C 	11 	639 	
YDR115W 	3 	8 	
MRPL1 	16 	813 	
TMA64 	12 	132 	
APC4 	17 	1619 	
YDR118W-A 	4 	224 	
VBA4 	42 	2305 	
COX26 	11 	263 	
TRM1 	15 	465 	
DPB4 	9 	203 	
KIN1 	28 	1488 	
INO2 	9 	113 	
YDR124W 	13 	415 	
ECM18 	18 	413 	
SWF1 	23 	408 	
ARO1 	22 	472 	
MTC5 	56 	3946 	
SAC6 	7 	21 	
FIN1 	11 	176 	
YDR131C 	22 	1044 	
YDR132C 	21 	1425 	
YDR133C 	1 	0 	
YCF1 	22 	445 	
VPS61 	24 	1460 	
RGP1 	5 	55 	
HPR1 	10 	163 	
RUB1 	2 	22 	
MTQ2 	7 	90 	
DOP1 	2 	1 	
PEX7 	15 	487 	
SAN1 	44 	1739 	
MKC7 	25 	1021 	
TAF12 	4 	6 	
SWI5 	43 	890 	
EKI1 	21 	1077 	
KGD2 	19 	926 	
YDR149C 	5 	7 	
NUM1 	46 	1169 	
CTH1 	15 	150 	
GIR2 	6 	327 	
ENT5 	13 	89 	
YDR154C 	2 	1 	
CPR1 	7 	228 	
RPA14 	13 	204 	
YDR157W 	18 	1566 	
HOM2 	10 	289 	
SAC3 	16 	190 	
SSY1 	1 	0 	
YDR161W 	7 	106 	
NBP2 	4 	40 	
CWC15 	17 	753 	
SEC1 	5 	21 	
TRM82 	21 	640 	
SEC5 	29 	574 	
TAF10 	3 	2 	
CDC37 	2 	3 	
STB3 	6 	207 	
YDR169C-A 	4 	130 	
SEC7 	9 	321 	
HSP42 	16 	379 	
SUP35 	2 	1 	
ARG82 	2 	1 	
HMO1 	25 	837 	
RSM24 	19 	468 	
NGG1 	12 	421 	
UBC1 	2 	11 	
SDH4 	10 	323 	
CSN9 	7 	131 	
YDR179W-A 	6 	28 	
SCC2 	3 	3 	
SAS4 	15 	722 	
CDC1 	1 	0 	
YDR182W-A 	5 	131 	
PLP1 	13 	787 	
YDR183C-A 	4 	37 	
ATC1 	7 	229 	
UPS3 	10 	782 	
YDR186C 	46 	1167 	
YDR187C 	14 	607 	
CCT6 	3 	2 	
SLY1 	1 	0 	
RVB1 	0 	0 	
HST4 	24 	833 	
NUP42 	25 	400 	
YDR193W 	9 	126 	
MSS116 	11 	194 	
YDR194W-A 	1 	0 	
REF2 	18 	457 	
CAB5 	2 	1 	
CBS2 	13 	302 	
RKM2 	24 	1017 	
YDR199W 	3 	3 	
VPS64 	12 	375 	
SPC19 	1 	0 	
RAV2 	10 	273 	
YDR203W 	5 	87 	
COQ4 	15 	316 	
MSC2 	21 	849 	
EBS1 	40 	1825 	
UME6 	40 	1207 	
MSS4 	8 	294 	
YDR209C 	1 	0 	
YDR210W 	1 	0 	
GCD6 	2 	1 	
TCP1 	0 	0 	
UPC2 	51 	2683 	
AHA1 	23 	1110 	
YDR215C 	35 	4306 	
ADR1 	32 	1165 	
RAD9 	11 	367 	
SPR28 	12 	582 	
MFB1 	7 	52 	
YDR220C 	6 	133 	
GTB1 	42 	3798 	
YDR222W 	11 	384 	
CRF1 	22 	957 	
HTB1 	1 	0 	
HTA1 	2 	9 	
ADK1 	10 	168 	
SIR4 	28 	646 	
PCF11 	1 	0 	
IVY1 	21 	608 	
YDR230W 	14 	879 	
COX20 	18 	1162 	
HEM1 	3 	2 	
RTN1 	8 	85 	
LYS4 	62 	2535 	
PRP42 	1 	0 	
FMN1 	4 	35 	
MRPL7 	9 	277 	
SEC26 	2 	1 	
YDR239C 	49 	1466 	
SNU56 	4 	9 	
BUD26 	10 	239 	
AMD2 	19 	916 	
PRP28 	1 	0 	
PEX5 	31 	1589 	
MNN10 	2 	1 	
TRS23 	3 	82 	
YDR246W-A 	27 	2937 	
VHS1 	29 	1328 	
YDR248C 	18 	417 	
YDR249C 	20 	405 	
YDR250C 	14 	1170 	
PAM1 	32 	1089 	
BTT1 	5 	30 	
MET32 	8 	197 	
CHL4 	11 	81 	
RMD5 	14 	732 	
CTA1 	58 	3359 	
RKM4 	7 	212 	
HSP78 	35 	2050 	
YAP6 	21 	1129 	
SWM1 	32 	2908 	
EXG2 	40 	2941 	
YDR262W 	10 	49 	
DIN7 	29 	986 	
AKR1 	11 	223 	
PEX10 	8 	338 	
HEL2 	34 	1343 	
CIA1 	1 	0 	
MSW1 	15 	558 	
YDR269C 	0 	0 	
CCC2 	22 	488 	
YDR271C 	5 	182 	
GLO2 	9 	264 	
DON1 	13 	378 	
YDR274C 	37 	5494 	
BSC2 	15 	642 	
PMP3 	2 	1 	
MTH1 	21 	903 	
YDR278C 	5 	94 	
RNH202 	15 	405 	
RRP45 	1 	0 	
PHM6 	3 	5 	
YDR282C 	17 	223 	
GCN2 	46 	1272 	
DPP1 	17 	478 	
ZIP1 	26 	631 	
YDR286C 	3 	39 	
INM2 	12 	329 	
NSE3 	2 	17 	
RTT103 	2 	2 	
YDR290W 	2 	25 	
HRQ1 	34 	2179 	
SRP101 	4 	4 	
SSD1 	31 	2179 	
DPL1 	23 	1483 	
HDA2 	15 	195 	
MHR1 	5 	247 	
SUR2 	14 	290 	
ATP5 	4 	59 	
BFR2 	0 	0 	
PRO1 	1 	0 	
CFT1 	0 	0 	
GPI11 	0 	0 	
RSC3 	1 	0 	
CPR5 	9 	241 	
HNT2 	10 	353 	
YDR306C 	15 	500 	
PMT7 	17 	980 	
SRB7 	1 	0 	
GIC2 	14 	314 	
SUM1 	18 	1204 	
TFB1 	4 	103 	
SSF2 	26 	982 	
PIB1 	14 	629 	
RAD34 	20 	644 	
IPK1 	3 	50 	
OMS1 	21 	196 	
HIM1 	15 	407 	
MCM21 	4 	37 	
YFT2 	5 	58 	
SWA2 	29 	707 	
DAD4 	0 	0 	
YDR320W-B 	8 	668 	
ASP1 	11 	235 	
MRPL35 	11 	157 	
TIM11 	0 	0 	
PEP7 	14 	514 	
UTP4 	3 	8 	
YCG1 	3 	33 	
YSP2 	47 	1260 	
YDR327W 	5 	312 	
SKP1 	2 	93 	
PEX3 	20 	783 	
UBX5 	16 	364 	
GPI8 	2 	9 	
IRC3 	17 	203 	
RQC1 	18 	477 	
SWR1 	32 	824 	
MSN5 	18 	444 	
YDR336W 	16 	393 	
MRPS28 	6 	132 	
YDR338C 	42 	2977 	
FCF1 	1 	0 	
YDR340W 	7 	188 	
YDR341C 	1 	0 	
HXT7 	2 	15 	
HXT6 	1 	0 	
YDR344C 	26 	1188 	
HXT3 	20 	479 	
SVF1 	27 	1256 	
MRP1 	18 	704 	
PAL1 	43 	1529 	
YPS7 	21 	523 	
ATP22 	6 	199 	
SBE2 	15 	199 	
YPQ2 	12 	480 	
TRR1 	2 	16 	
TRP4 	9 	275 	
YDR354C-A 	1 	0 	
YDR355C 	0 	0 	
SPC110 	2 	11 	
CNL1 	23 	254 	
GGA1 	25 	987 	
EAF1 	13 	485 	
OPI7 	2 	1 	
BCP1 	0 	0 	
TFC6 	3 	73 	
ESC2 	18 	786 	
SEM1 	2 	4 	
CDC40 	5 	58 	
ESF1 	6 	44 	
YDR366C 	8 	61 	
KEI1 	3 	12 	
YPR1 	15 	164 	
XRS2 	29 	1016 	
DXO1 	24 	680 	
CTS2 	23 	1480 	
YDR371C-A 	0 	0 	
VPS74 	3 	86 	
FRQ1 	1 	0 	
PHO92 	16 	359 	
WIP1 	0 	0 	
BCS1 	20 	368 	
ARH1 	1 	0 	
ATP17 	5 	9 	
LSM6 	1 	0 	
RGA2 	41 	1721 	
SDH6 	5 	328 	
ARO10 	25 	687 	
YRA1 	4 	30 	
YDR381C-A 	2 	1 	
RPP2B 	3 	2 	
NKP1 	13 	307 	
ATO3 	21 	1104 	
EFT2 	2 	7 	
MUS81 	23 	977 	
YDR387C 	20 	886 	
RVS167 	19 	595 	
SAC7 	35 	842 	
UBA2 	7 	661 	
YDR391C 	9 	230 	
SPT3 	7 	136 	
SHE9 	25 	632 	
RPT3 	0 	0 	
SXM1 	24 	657 	
YDR396W 	6 	138 	
NCB2 	5 	130 	
UTP5 	6 	16 	
HPT1 	7 	224 	
URH1 	12 	335 	
YDR401W 	17 	353 	
DIT2 	23 	558 	
DIT1 	30 	883 	
RPB7 	0 	0 	
MRP20 	32 	752 	
PDR15 	147 	9187 	
YDR406W-A 	3 	2 	
TRS120 	3 	50 	
ADE8 	2 	9 	
SIZ1 	29 	1232 	
STE14 	12 	337 	
DFM1 	16 	975 	
RRP17 	1 	0 	
YDR413C 	0 	0 	
ERD1 	20 	449 	
YDR415C 	13 	332 	
SYF1 	15 	146 	
YDR417C 	3 	22 	
RPL12B 	2 	6 	
RAD30 	34 	1119 	
HKR1 	41 	1775 	
ARO80 	37 	1822 	
SIP1 	23 	1107 	
CAD1 	25 	1176 	
DYN2 	7 	87 	
SNX41 	13 	382 	
YDR426C 	4 	20 	
RPN9 	0 	0 	
BNA7 	5 	38 	
TIF35 	1 	0 	
CYM1 	41 	2499 	
YDR431W 	12 	1152 	
NPL3 	1 	0 	
YDR433W 	1 	0 	
GPI17 	2 	3 	
PPM1 	11 	402 	
PPZ2 	25 	800 	
GPI19 	5 	16 	
THI74 	15 	377 	
LRS4 	7 	75 	
DOT1 	19 	719 	
APT2 	15 	670 	
YDR442W 	9 	311 	
SSN2 	45 	1322 	
YDR444W 	31 	1541 	
YDR445C 	10 	132 	
ECM11 	11 	142 	
RPS17B 	8 	401 	
ADA2 	8 	542 	
UTP6 	0 	0 	
RPS18A 	8 	23 	
YHP1 	18 	675 	
PPN1 	46 	2003 	
TSA2 	17 	1672 	
GUK1 	1 	0 	
YDR455C 	11 	121 	
NHX1 	28 	303 	
TOM1 	67 	4650 	
HEH2 	22 	800 	
PFA5 	14 	627 	
TFB3 	1 	0 	
MFA1 	4 	86 	
YDR461C-A 	3 	20 	
MRPL28 	4 	5 	
STP1 	6 	42 	
SPP41 	16 	276 	
YDR464C-A 	1 	0 	
RMT2 	17 	994 	
PKH3 	20 	662 	
YDR467C 	6 	191 	
TLG1 	8 	70 	
SDC1 	3 	15 	
UGO1 	3 	21 	
RPL27B 	16 	837 	
TRS31 	1 	0 	
PRP3 	5 	139 	
JIP4 	42 	1534 	
YDR476C 	29 	1770 	
SNF1 	3 	16 	
SNM1 	0 	0 	
PEX29 	26 	848 	
DIG2 	29 	1441 	
PHO8 	40 	2297 	
CWC21 	27 	2436 	
KRE2 	11 	216 	
VPS52 	3 	10 	
VPS72 	21 	437 	
VPS60 	8 	213 	
RIB3 	0 	0 	
PAC11 	48 	1621 	
SLD5 	0 	0 	
PKH1 	57 	4917 	
YDR491C 	21 	1984 	
IZH1 	21 	1083 	
MZM1 	6 	330 	
RSM28 	6 	34 	
VPS3 	15 	324 	
PUF6 	14 	240 	
ITR1 	17 	478 	
SEC20 	8 	625 	
LCD1 	2 	2 	
RPL37B 	7 	51 	
PLM2 	18 	448 	
SAM2 	19 	758 	
LPP1 	10 	1235 	
SPG3 	3 	9 	
PSP1 	14 	139 	
GMC1 	55 	3993 	
GIN4 	40 	1518 	
GNP1 	17 	578 	
YDR509W 	4 	13 	
SMT3 	0 	0 	
YDR510C-A 	3 	79 	
SDH7 	8 	417 	
EMI1 	31 	2103 	
GRX2 	8 	74 	
YDR514C 	29 	795 	
SLF1 	3 	4 	
EMI2 	19 	1000 	
GRH1 	24 	1796 	
EUG1 	27 	1399 	
FPR2 	8 	175 	
URC2 	31 	1148 	
YDR521W 	5 	36 	
SPS2 	11 	413 	
SPS1 	32 	1607 	
AGE1 	15 	300 	
YDR524W-C 	2 	127 	
YDR524C-B 	3 	28 	
YDR524C-A 	8 	336 	
API2 	19 	631 	
SNA2 	18 	2569 	
YDR526C 	1 	0 	
RBA50 	5 	70 	
HLR1 	22 	574 	
QCR7 	9 	670 	
APA2 	17 	1090 	
CAB1 	1 	0 	
KRE28 	4 	6 	
HSP31 	15 	679 	
FIT1 	18 	858 	
YDR535C 	25 	913 	
STL1 	34 	2019 	
YDR537C 	4 	65 	
PAD1 	6 	164 	
FDC1 	14 	945 	
IRC4 	6 	18 	
YDR541C 	23 	1113 	
PAU10 	0 	0 	
YDR543C 	3 	3 	
YDR544C 	3 	37 	
YRF1-1 	0 	0 	
YDR545C-A 	0 	0 	
YEL077C 	41 	947 	
YEL077W-A 	7 	27 	
YEL076C-A 	0 	0 	
YEL076C 	0 	0 	
YEL075W-A 	0 	0 	
YEL075C 	0 	0 	
YEL074W 	17 	2529 	
YEL073C 	14 	972 	
RMD6 	12 	709 	
DLD3 	44 	2580 	
DSF1 	25 	1337 	
HXT13 	31 	2131 	
YEL068C 	8 	368 	
YEL067C 	31 	3894 	
HPA3 	15 	846 	
SIT1 	51 	2410 	
AVT2 	26 	2742 	
CAN1 	20 	386 	
NPR2 	14 	105 	
CIN8 	29 	767 	
PRB1 	45 	2290 	
SOM1 	29 	669 	
HHY1 	27 	1216 	
PCM1 	3 	28 	
YEL057C 	22 	800 	
HAT2 	26 	1157 	
POL5 	6 	32 	
RPL12A 	11 	297 	
YEL053W-A 	10 	271 	
MAK10 	37 	1904 	
AFG1 	22 	927 	
VMA8 	1 	0 	
YEL050W-A 	3 	14 	
RML2 	35 	964 	
PAU2 	6 	45 	
TCA17 	1 	0 	
FRD1 	31 	1098 	
GLY1 	4 	20 	
YEL045C 	28 	2193 	
IES6 	11 	96 	
YEL043W 	65 	5001 	
GDA1 	40 	2986 	
YEF1 	37 	2473 	
UTR2 	39 	2341 	
CYC7 	9 	271 	
UTR4 	30 	1421 	
RAD23 	25 	1300 	
ANP1 	26 	914 	
UTR5 	39 	6722 	
YEL034C-A 	6 	142 	
HYP2 	4 	119 	
MTC7 	24 	3272 	
MCM3 	1 	0 	
YEL032C-A 	0 	0 	
SPF1 	92 	4750 	
YEL030C-A 	5 	248 	
ECM10 	61 	2355 	
BUD16 	18 	315 	
YEL028W 	11 	257 	
VMA3 	0 	0 	
SNU13 	0 	0 	
YEL025C 	104 	6085 	
RIP1 	15 	721 	
YEL023C 	107 	5807 	
GEA2 	144 	9109 	
URA3 	13 	171300 	
YEL020C-B 	0 	0 	
TIM9 	3 	5 	
YEL020C 	90 	6412 	
MMS21 	13 	1627 	
YEL018C-A 	22 	795 	
EAF5 	48 	2159 	
PMP2 	5 	62 	
GTT3 	71 	3117 	
NPP2 	76 	5475 	
EDC3 	87 	7522 	
YEL014C 	22 	2123 	
VAC8 	60 	1577 	
UBC8 	53 	4126 	
GLC3 	140 	18049 	
YEL010W 	26 	1666 	
YEL009C-A 	32 	2046 	
GCN4 	49 	3721 	
YEL008W 	19 	27254 	
YEL008C-A 	2 	97 	
MIT1 	42 	1956 	
YEA6 	90 	8779 	
VAB2 	56 	4271 	
YEA4 	95 	7904 	
GIM4 	35 	4182 	
WBP1 	8 	73 	
IRC22 	47 	9642 	
MNN1 	191 	31573 	
NOP16 	37 	1025 	
PMI40 	4 	4 	
FMP52 	68 	12654 	
YND1 	153 	29057 	
NUG1 	18 	280 	
YER006C-A 	25 	1402 	
PAC2 	91 	9281 	
TMA20 	43 	4017 	
SEC3 	115 	6572 	
NTF2 	0 	0 	
YER010C 	43 	3141 	
TIR1 	31 	1292 	
PRE1 	5 	22 	
PRP22 	20 	1411 	
HEM14 	39 	1316 	
BUD25 	49 	3552 	
FAA2 	91 	4603 	
BIM1 	51 	5256 	
AFG3 	79 	3168 	
SPC25 	5 	48 	
ISC1 	111 	7651 	
SBH2 	11 	249 	
GPA2 	75 	4175 	
RPN3 	9 	835 	
SRB4 	14 	176 	
PRO3 	2 	1 	
YER023C-A 	0 	0 	
YAT2 	104 	7396 	
GCD11 	1 	0 	
CHO1 	2 	105 	
GAL83 	39 	2318 	
MIG3 	66 	2626 	
SMB1 	12 	340 	
CHZ1 	4 	3 	
YPT31 	19 	1014 	
FIR1 	63 	3462 	
ZRG8 	75 	3348 	
YER034W 	35 	8224 	
EDC2 	38 	4772 	
ARB1 	17 	122 	
PHM8 	27 	1156 	
KRE29 	9 	158 	
YER038W-A 	10 	298 	
HVG1 	23 	1054 	
YER039C-A 	4 	407 	
GLN3 	40 	1228 	
YEN1 	58 	3505 	
MXR1 	24 	1980 	
SAH1 	2 	1 	
ERG28 	4 	25 	
MEI4 	42 	2689 	
ACA1 	37 	1693 	
SPO73 	17 	1911 	
YER046W-A 	13 	321 	
SAP1 	42 	2796 	
CAJ1 	20 	1154 	
ISD11 	3 	56 	
TPA1 	34 	1358 	
RSM18 	12 	146 	
JHD1 	45 	1900 	
HOM3 	29 	1319 	
PIC2 	28 	1519 	
YER053C-A 	2 	5 	
GIP2 	61 	4118 	
HIS1 	32 	1461 	
FCY2 	36 	1466 	
RPL34A 	13 	224 	
HMF1 	9 	1121 	
PET117 	7 	446 	
PCL6 	31 	1360 	
FCY21 	43 	1492 	
FCY22 	47 	1803 	
CEM1 	23 	1763 	
GPP2 	14 	430 	
THO1 	20 	584 	
VHR2 	31 	1591 	
ICL1 	48 	4862 	
RRT13 	11 	192 	
YER066C-A 	6 	8 	
RGI1 	9 	269 	
YER067C-A 	6 	203 	
MOT2 	16 	734 	
YER068C-A 	17 	960 	
ARG5
RNR1 	32 	738 	
TDA2 	1 	0 	
VTC1 	17 	509 	
ALD5 	30 	1475 	
RPS24A 	7 	21 	
YOS1 	1 	0 	
PTP3 	50 	2391 	
YER076C 	31 	1448 	
YER076W-A 	6 	74 	
YER077C 	31 	1389 	
ICP55 	43 	2317 	
YER078W-A 	15 	64 	
YER079W 	13 	427 	
YER079C-A 	8 	396 	
AIM9 	23 	613 	
SER3 	25 	798 	
UTP7 	3 	7 	
GET2 	8 	173 	
YER084W 	26 	2412 	
YER084W-A 	6 	27 	
YER085C 	6 	27 	
ILV1 	1 	0 	
AIM10 	33 	1193 	
YER087C-A 	13 	528 	
SBH1 	5 	157 	
DOT6 	60 	5703 	
YER088C-A 	38 	2251 	
YER088W-B 	15 	2182 	
PTC2 	83 	7841 	
TRP2 	29 	1095 	
YER090C-A 	1 	0 	
MET6 	28 	471 	
YER091C-A 	24 	2038 	
IES5 	20 	875 	
TSC11 	25 	613 	
AIM11 	13 	202 	
PUP3 	0 	0 	
RAD51 	9 	70 	
SHC1 	23 	1152 	
YER097W 	21 	520 	
UBP9 	38 	1173 	
PRS2 	17 	571 	
UBC6 	15 	310 	
AST2 	22 	1204 	
RPS8B 	7 	158 	
SSA4 	30 	1368 	
RTT105 	19 	505 	
NUP157 	68 	2979 	
MAM1 	20 	726 	
GLE2 	1 	0 	
YER107W-A 	2 	2 	
FLO8 	29 	542 	
KAP123 	25 	692 	
SWI4 	31 	907 	
LSM4 	0 	0 	
TMN3 	30 	1132 	
BOI2 	57 	2711 	
SPR6 	14 	1034 	
SLX8 	15 	295 	
RPL23B 	6 	190 	
SHO1 	14 	326 	
AVT6 	32 	2726 	
YER119C-A 	17 	1822 	
SCS2 	14 	499 	
YER121W 	6 	55 	
GLO3 	26 	1667 	
YCK3 	10 	145 	
DSE1 	21 	927 	
RSP5 	1 	0 	
NSA2 	0 	0 	
LCP5 	1 	0 	
VFA1 	13 	816 	
SAK1 	46 	3238 	
COM2 	31 	1285 	
RPS26B 	6 	29 	
PMD1 	90 	4584 	
GLC7 	1 	0 	
YER133W-A 	2 	10 	
YER134C 	9 	123 	
YER135C 	15 	342 	
GDI1 	1 	0 	
YER137C 	14 	918 	
YER137W-A 	9 	514 	
YER138W-A 	0 	0 	
RTR1 	7 	216 	
EMP65 	28 	1998 	
COX15 	13 	486 	
MAG1 	22 	871 	
DDI1 	23 	1658 	
UBP5 	46 	2638 	
FTR1 	36 	1726 	
YER145C-A 	12 	173 	
LSM5 	6 	10 	
SCC4 	15 	368 	
YER147C-A 	3 	29 	
SPT15 	1 	0 	
YER148W-A 	8 	261 	
PEA2 	21 	934 	
SPI1 	14 	249 	
UBP3 	16 	733 	
YER152C 	42 	2262 	
YER152W-A 	18 	814 	
PET122 	28 	1346 	
OXA1 	30 	1480 	
BEM2 	36 	971 	
YER156C 	10 	299 	
COG3 	23 	266 	
YER158C 	27 	766 	
YER158W-A 	5 	14 	
BUR6 	7 	73 	
SPT2 	14 	540 	
RAD4 	15 	610 	
GCG1 	9 	436 	
CHD1 	37 	746 	
PAB1 	3 	99 	
YER165C-A 	4 	7 	
DNF1 	84 	3713 	
BCK2 	28 	952 	
CCA1 	2 	1 	
RPH1 	36 	1791 	
ADK2 	17 	899 	
RAD3 	7 	94 	
BRR2 	10 	71 	
YER172C-A 	4 	28 	
RAD24 	19 	669 	
GRX4 	16 	630 	
TMT1 	21 	1343 	
YER175W-A 	3 	16 	
ECM32 	110 	7589 	
BMH1 	14 	1135 	
PDA1 	15 	430 	
DMC1 	39 	2093 	
ISC10 	10 	117 	
SLO1 	3 	35 	
YER181C 	5 	216 	
FMP10 	15 	312 	
FAU1 	14 	641 	
TOG1 	47 	2328 	
PUG1 	21 	1214 	
YER186C 	30 	796 	
YER187W 	11 	330 	
YER188W 	12 	584 	
YER188C-A 	16 	734 	
YER189W 	0 	0 	
YRF1-2 	17 	539 	
YER190C-A 	0 	0 	
YER190C-B 	0 	0 	
YFL068W 	0 	0 	
YFL067W 	0 	0 	
YFL066C 	4 	134 	
YFL065C 	1 	0 	
YFL064C 	1 	0 	
YFL063W 	9 	127 	
COS4 	7 	64 	
DDI2 	0 	0 	
SNO3 	4 	37 	
SNZ3 	5 	93 	
THI5 	10 	204 	
AAD16 	17 	606 	
AAD6 	12 	552 	
AGP3 	41 	2563 	
YFL054C 	47 	2614 	
DAK2 	46 	1341 	
YFL052W 	24 	1703 	
YFL051C 	8 	243 	
ALR2 	62 	3445 	
SWP82 	22 	1160 	
EMP47 	13 	493 	
RGD2 	42 	1046 	
FMP32 	27 	1565 	
SEC53 	0 	0 	
OTU1 	19 	1296 	
YFL042C 	47 	2974 	
YFL041W-A 	3 	10 	
FET5 	45 	2643 	
YFL040W 	53 	1949 	
ACT1 	0 	0 	
YPT1 	0 	0 	
TUB2 	1 	0 	
RPO41 	59 	1971 	
MOB2 	15 	570 	
RPL22B 	22 	490 	
YFL034W 	79 	4591 	
RIM15 	90 	7943 	
YFL032W 	15 	255 	
HAC1 	38 	1178 	
YFL031C-A 	3 	7 	
AGX1 	65 	5045 	
CAK1 	0 	0 	
CAF16 	27 	1671 	
GYP8 	44 	2518 	
STE2 	41 	2069 	
BST1 	97 	3972 	
EPL1 	17 	170 	
BUD27 	83 	3375 	
FRS2 	0 	0 	
YFL021C-A 	73 	7142 	
GAT1 	102 	7811 	
PAU5 	8 	69 	
YFL019C 	0 	0 	
LPD1 	65 	4032 	
SMX2 	1 	0 	
GNA1 	2 	11 	
MDJ1 	74 	5229 	
YFL015W-A 	25 	1291 	
YFL015C 	44 	5075 	
HSP12 	18 	257 	
YFL013W-A 	67 	23941 	
IES1 	122 	30211 	
YFL012W-A 	27 	5332 	
YFL012W 	20 	1843 	
HXT10 	107 	6500 	
AUA1 	18 	798 	
WWM1 	35 	2361 	
CDC4 	7 	96 	
SMC1 	2 	1 	
BLM10 	259 	17410 	
SEC4 	1 	0 	
VTC2 	122 	7981 	
MSH4 	198 	19652 	
SPB4 	14 	222 	
DEG1 	106 	10595 	
LOC1 	31 	290 	
NIC96 	69 	4452 	
YPI1 	3 	23 	
RPN11 	5 	101 	
SAD1 	4 	89 	
YFR006W 	124 	12410 	
YFH7 	74 	7044 	
FAR7 	19 	994 	
GCN20 	100 	4465 	
YFR009W-A 	8 	16 	
UBP6 	47 	1393 	
YFR010W-A 	17 	1562 	
MIC19 	29 	2760 	
DCV1 	33 	5866 	
YFR012W-A 	5 	74 	
IOC3 	119 	10675 	
CMK1 	74 	4121 	
GSY1 	127 	10159 	
YFR016C 	136 	9940 	
IGD1 	45 	5170 	
YFR018C 	68 	37031 	
FAB1 	113 	6129 	
YFR020W 	50 	4229 	
ATG18 	70 	3902 	
ROG3 	121 	8737 	
PES4 	61 	4886 	
LSB3 	40 	1749 	
HIS2 	65 	4201 	
ULI1 	46 	4966 	
ECO1 	0 	0 	
CDC14 	16 	651 	
PTR3 	4 	23 	
MET10 	84 	2583 	
SMC2 	2 	2 	
RPL2A 	37 	1575 	
RRT5 	37 	1788 	
RPL29 	23 	1062 	
YFR032C-B 	21 	445 	
QCR6 	31 	3779 	
PHO4 	72 	11647 	
YFR034W-A 	20 	4877 	
