Gene name	Number of transposons per gene	Number of reads per gene
YPT1	10	187
ACT1	12	281
SEC53	1	0
NIC96	53	1789
YPI1	5	85
RPN11	5	7
SAD1	14	537
ECO1	5	46
CDC14	18	738
PTR3	34	561
SMC2	28	346
RSC8	15	116
KEG1	2	5
PRE4	20	271
RET2	61	2888
RPN12	10	110
ERG26	8	70
PMA1	11	262
SCL1	16	147
PUF4	91	2935
JAC1	8	166
STT3	41	1135
RPL30	1	0
HEM2	6	107
RNA15	6	143
ALG13	3	59
RPT6	2	3
OLE1	11	369
DUO1	14	489
ALG2	14	92
MNP1	5	7
YGL069C	6	13
HSF1	64	3545
YGL074C	15	960
MPS2	23	560
NBP35	12	84
NUP145	33	430
SPC105	30	532
SRM1	21	365
USE1	0	0
LSG1	19	127
YGL102C	4	49
RPL28	5	50
NSA1	10	168
TAF6	0	0
SLD3	21	608
CDC20	27	714
PRP43	25	453
NAB2	14	276
RPS2	3	2
CWC23	7	28
CEG1	2	14
SEC27	24	608
GPI10	21	476
TIP20	32	817
INO80	66	2333
CDC43	16	453
CUP2	13	288
SUA5	13	293
ROK1	14	312
NUP49	16	388
ATG1	49	1186
MCM6	64	1514
SPT16	29	303
VRG4	8	42
SEC15	27	598
CSE1	27	1007
YGL239C	12	139
GUS1	21	588
BRR6	3	6
SWC4	55	1967
TFG2	20	301
SEC9	8	48
SNU71	43	1059
THG1	7	368
ERV1	5	27
POP6	5	59
TAM41	18	262
TFC4	30	644
UFD1	12	269
ERG25	10	109
VHT1	14	338
YGR073C	6	22
SMD1	1	0
PRP38	3	11
TOM20	17	268
GCD2	15	180
UTP22	14	193
PRP31	18	460
VAS1	42	911
RRP46	5	37
ESP1	22	389
TEL2	18	118
NOP7	9	93
DAM1	10	234
YGR114C	7	379
YGR115C	3	15
SPT6	25	465
NUP57	17	679
COG2	4	44
UTP8	11	68
CBF2	30	1377
ENP2	32	892
NAT2	16	364
PTI1	9	137
MTR3	9	26
YIP1	6	82
ERG1	8	65
OKP1	23	570
TYS1	16	793
TFG1	20	231
YGR190C	1	0
HIP1	13	324
SKI6	8	78
YPP1	15	250
ZPR1	19	573
GPI1	13	140
CRM1	24	427
LSC2	54	1534
SDA1	34	593
BRF1	18	439
NOP19	12	285
PUP2	9	305
MES1	27	787
YGR265W	19	1159
FOL2	9	171
TAF1	26	463
CAB4	6	53
CWC22	21	491
PXR1	9	165
PAU12	17	166
RPS20	0	0
ARN2	40	1558
TIM10	12	516
ERG11	11	183
SPO13	23	447
DED81	18	282
YHR020W	29	284
MYO1	59	1455
MAS2	13	254
BRL1	19	986
BCD1	30	1568
NCP1	19	315
CPR2	28	1282
MED6	18	720
RPP1	7	99
RRP3	23	344
DYS1	22	385
RRP4	12	45
TRM5	15	334
ERG7	24	419
NOP10	0	0
QNS1	29	775
KSP1	53	1617
SAM35	8	107
STE12	43	1430
IPI1	6	37
NAM8	51	2040
RPF1	4	16
SFB3	50	1044
BIG1	6	83
CDC12	4	47
ORC6	8	89
YHR122W	18	578
RPC10	0	0
IMP3	10	248
DNA2	43	915
CDC23	36	1528
NMD3	13	252
SPC97	31	1007
KOG1	37	1263
GPI16	21	275
ERG9	15	364
UTP9	26	463
RIX1	10	219
CFD1	25	899
BET1	4	14
FAF1	19	357
RPB3	7	51
TIM44	10	157
IRR1	40	627
ULP2	64	1955
MET30	32	1093
NEO1	25	524
MMF1	31	607
SNP1	14	146
ARC15	4	30
YRB2	9	118
SEC6	29	702
RPN2	37	727
THS1	23	637
CAB2	11	171
UTP25	25	580
SHQ1	23	341
MOB1	6	55
SEC24	39	1366
NUP159	59	1484
RHO3	8	199
STH1	33	776
TAO3	78	2141
CCT2	21	335
SSL2	40	1590
NDC80	21	836
SLN1	19	746
MCM10	24	892
DJP1	58	2179
PAN1	155	7111
PRI1	6	55
DSN1	25	432
STS1	11	125
SQT1	22	625
RPR2	6	29
SEC11	3	24
PRE3	9	162
OST1	11	364
CYR1	65	1638
CCT8	15	374
YJL009W	16	396
NOP9	26	458
RPC17	6	16
CCT3	10	61
YJL015C	48	2762
MPS3	71	2741
RRN7	16	454
RNR2	14	285
BET4	3	4
YJL032W	1	0
HCA4	20	239
KAR2	16	323
TAD2	14	119
NUP192	22	201
NSP1	7	40
MTR4	39	1691
TIM54	17	346
NUP82	17	388
UTP18	18	206
PSF2	11	139
SMC3	23	886
NET1	72	2463
ARP4	7	88
EXO70	21	250
YJL086C	27	515
TRL1	9	256
DPB11	23	546
GWT1	11	133
PHS1	8	135
PAM16	3	8
IME2	44	1083
UTP10	45	1783
CCT7	11	49
ASF1	16	465
MTC1	28	395
GCD14	12	215
TIM17	9	59
SSY5	22	560
FAR1	75	2970
TPK1	38	1140
ERG20	9	81
RFA3	0	0
KRE9	4	12
CDC6	8	153
YJL195C	1	0
YJL202C	11	182
PRP21	12	368
MPP10	46	1195
MRX12	130	5066
POL31	5	44
SUI2	21	536
YJR012C	41	1700
GPI14	9	93
ILV3	39	538
ESS1	11	138
LSM8	1	0
YJR023C	4	24
URB2	20	954
NUP85	14	259
SSC1	9	82
TAH11	8	47
CDC8	8	117
CCT5	45	924
ARP3	21	477
YAE1	3	17
RFC2	12	132
NPA3	36	1236
CDC11	24	502
FIP1	11	96
SFC1	25	1620
NNF1	9	91
RPS5	1	0
YJR141W	4	64
AUR1	36	1232
SFT1	22	812
PRP40	27	961
ARC19	1	0
URB1	62	1914
SWD2	12	103
RAM2	15	181
MAK11	34	1662
CDC16	67	2882
URA6	9	85
TFA1	27	1094
TTI1	36	874
UGP1	24	461
YKL036C	55	1905
SPC42	8	79
PRI2	25	657
CSE4	8	53
ASK1	45	1236
TOA2	2	2
MPE1	31	711
FBA1	5	4
DHR2	12	204
RRP14	15	187
YKL083W	3	4
CAB3	26	560
MIF2	3	15
YJU2	8	141
UTP11	9	66
HSL1	58	851
GFA1	19	372
SLD2	15	324
YKL111C	11	359
ABF1	24	590
SRP21	5	25
RRN3	18	183
HSK3	2	13
SDH3	10	16
RPC25	4	50
RPT1	8	134
GPM1	6	29
YKL153W	5	20
SRP102	10	146
MCD4	35	1028
TPK3	27	1262
EBP2	7	33
SNU114	22	213
RPL17A	2	1
FAS1	47	1434
MTR2	10	87
HYM1	17	204
ACP1	5	95
SDS22	11	110
MIA40	5	46
YKT6	6	57
TOR2	87	2369
LOS1	66	1806
UBA1	21	430
PAP1	20	747
ECM9	23	509
RSC4	18	305
NTR2	11	72
RPC37	7	231
SPC34	14	471
KAE1	16	386
RPS21A	15	359
TFA2	0	0
LAS1	13	299
BET3	14	596
DRE2	12	209
TRZ1	32	593
RPF2	12	308
DAD2	2	1
PRP16	44	1100
SFI1	35	1323
ORC3	16	199
DRS1	30	759
SOF1	30	754
DPS1	16	424
GPI13	22	371
RIX7	14	312
GRC3	15	675
PRP19	5	124
YLL037W	11	171
COF1	6	44
NOC3	24	388
SSL1	23	269
NSE1	17	406
PAM18	1	0
RLP24	1	0
TEN1	0	0
GAT3	17	195
SDO1	8	138
SED5	6	21
RPL15A	4	9
RSC58	4	34
STU2	41	1129
FCF2	18	351
REX2	69	4120
FRS1	24	587
SPC3	6	95
RGR1	55	1580
RPL10	2	1
YLR076C	1	0
BOS1	9	191
SMC4	32	644
GAA1	28	789
HRT3	16	719
MIM2	5	59
ERG27	11	186
YLR101C	17	188
CDC45	13	174
SEN2	8	158
MDN1	119	2288
CFT2	16	150
MSL5	17	365
CLF1	37	1143
APC2	29	516
DIP2	17	117
USB1	4	12
YLR140W	18	264
RRN5	17	170
RMP1	5	19
SMD3	3	10
ACS2	24	346
MAS1	14	258
SEC10	15	155
RPS31	4	86
CBF5	14	544
EMG1	5	118
NMT1	3	3
PWP1	32	781
NOP56	9	141
YLR198C	4	4
SEC13	15	484
TUB4	13	375
CDC123	7	190
CCC1	18	520
UTP13	18	514
IFH1	42	796
CDC42	4	17
YLR230W	3	32
GPN3	4	18
YEF3	21	705
HSP60	9	63
YCS4	30	648
MCM5	21	287
SMD2	5	135
DBP9	3	30
YSH1	19	204
GCD7	10	150
YHC1	13	346
STT4	55	1292
CDC25	52	825
CDC3	24	901
TAD3	17	622
YLR317W	7	126
SFH1	23	906
CWC24	9	221
RPS25B	3	6
SGD1	22	400
YLR339C	0	0
RPP0	2	2
RPL26A	12	120
KAP95	19	492
ILV5	23	454
ADE13	10	65
STP3	23	660
SEC61	15	511
YLR379W	4	30
AFG2	18	356
SFP1	36	958
UTP21	29	397
SPP382	28	572
SEN1	45	1158
LSM3	1	0
SEC39	6	20
NBP1	18	205
YLR458W	8	105
GAB1	0	0
SPT5	42	1053
TAF11	9	44
NSE5	32	554
YML6	18	196
NDC1	18	332
RRN11	11	215
PRP39	13	133
RSE1	63	2139
TEM1	8	56
ORC1	32	727
ITT1	29	711
POB3	11	75
BET5	4	15
TUB1	11	161
RPM2	27	376
PRE8	2	4
UTP14	45	1400
TAF13	2	6
SEC65	2	4
TAF8	21	669
PGA3	15	465
ERG13	25	444
RSC9	20	292
MSC1	52	1615
ERO1	21	478
CDC5	11	205
TAF4	17	362
SEC59	20	350
TAP42	10	68
HOF1	40	1548
ARP9	6	50
MCM1	10	187
NUP116	40	1411
ERB1	13	406
SEN15	2	1
RNA14	15	63
MOT3	11	71
TVP18	12	145
PDS5	32	643
SEC14	6	158
UTP15	16	294
CTF13	10	310
MED11	4	34
