Gene name	Number of transposons per gene	Number of reads per gene
YPT1	5	15
ACT1	13	211
SEC53	3	11
NIC96	55	2031
YPI1	5	20
RPN11	8	57
SAD1	9	115
ECO1	4	19
CDC14	21	832
PTR3	47	1018
SMC2	27	485
RSC8	19	378
KEG1	3	4
PRE4	17	237
RET2	51	2545
RPN12	11	96
ERG26	12	260
PMA1	13	169
SCL1	10	50
PUF4	69	3303
JAC1	10	141
STT3	38	938
RPL30	3	8
HEM2	9	54
RNA15	9	161
ALG13	2	7
RPT6	4	13
OLE1	13	214
DUO1	15	407
ALG2	14	141
MNP1	5	20
YGL069C	5	20
HSF1	50	2665
YGL074C	14	661
MPS2	14	585
NBP35	16	363
NUP145	40	1137
SPC105	28	442
SRM1	16	141
USE1	1	0
LSG1	9	166
YGL102C	4	35
RPL28	8	96
NSA1	10	109
TAF6	1	0
SLD3	20	228
CDC20	19	288
PRP43	32	952
NAB2	12	361
RPS2	0	0
CWC23	5	9
CEG1	2	10
SEC27	30	495
GPI10	14	276
TIP20	32	904
INO80	59	1831
CDC43	20	539
CUP2	18	426
SUA5	13	240
ROK1	20	223
NUP49	19	587
ATG1	37	1190
MCM6	46	913
SPT16	26	700
VRG4	11	94
SEC15	24	269
CSE1	34	603
YGL239C	9	236
GUS1	15	244
BRR6	5	80
SWC4	39	2958
TFG2	13	148
SEC9	13	197
SNU71	45	992
THG1	4	8
ERV1	9	104
POP6	4	16
TAM41	13	273
TFC4	25	386
UFD1	19	626
ERG25	6	47
VHT1	22	476
YGR073C	3	8
SMD1	3	9
PRP38	1	0
TOM20	8	219
GCD2	13	273
UTP22	13	233
PRP31	26	387
VAS1	43	1166
RRP46	7	37
ESP1	27	334
TEL2	18	342
NOP7	13	110
DAM1	8	44
YGR114C	15	362
YGR115C	8	43
SPT6	45	724
NUP57	20	205
COG2	7	38
UTP8	9	119
CBF2	28	742
ENP2	33	484
NAT2	14	488
PTI1	4	13
MTR3	7	40
YIP1	6	76
ERG1	12	172
OKP1	27	349
TYS1	6	92
TFG1	20	459
YGR190C	3	36
HIP1	12	287
SKI6	7	78
YPP1	15	231
ZPR1	14	138
GPI1	17	241
CRM1	19	354
LSC2	46	1865
SDA1	33	681
BRF1	18	588
NOP19	9	193
PUP2	12	238
MES1	26	498
YGR265W	18	502
FOL2	6	169
TAF1	26	245
CAB4	3	7
CWC22	18	390
PXR1	7	94
PAU12	15	256
RPS20	0	0
ARN2	41	2301
TIM10	7	60
ERG11	13	185
SPO13	20	1111
DED81	16	155
YHR020W	19	347
MYO1	52	1146
MAS2	9	321
BRL1	15	323
BCD1	31	766
NCP1	22	341
CPR2	33	1788
MED6	17	368
RPP1	6	99
RRP3	19	464
DYS1	25	529
RRP4	7	31
TRM5	17	448
ERG7	21	279
NOP10	0	0
QNS1	21	287
KSP1	66	1735
SAM35	9	93
STE12	39	1472
IPI1	3	3
NAM8	46	2195
RPF1	3	3
SFB3	56	1269
BIG1	5	54
CDC12	2	2
