Gene name	Number of transposons per gene	Number of reads per gene
TUB2	25	435
YPT1	11	152
ACT1	21	416
SEC53	1	0
NIC96	62	1648
YPI1	6	101
RPN11	5	6
SAD1	13	301
ECO1	8	105
CDC14	16	290
PTR3	45	1333
SMC2	33	532
RSC8	21	303
KEG1	5	43
PRE4	21	258
RET2	70	2762
RPN12	10	205
ERG26	10	37
PMA1	13	142
SCL1	10	78
PUF4	95	3282
JAC1	9	117
STT3	47	1330
RPL30	3	3
HEM2	7	98
RNA15	12	160
ALG13	1	0
RPT6	7	14
OLE1	17	264
DUO1	21	487
ALG2	16	317
MNP1	8	65
YGL069C	9	88
HSF1	50	2042
YGL074C	24	1415
MPS2	17	459
NBP35	20	502
NUP145	48	1660
SPC105	27	905
SRM1	24	738
USE1	3	2
LSG1	9	141
YGL102C	6	35
RPL28	10	110
NSA1	19	164
TAF6	1	0
SLD3	22	558
CDC20	25	440
PRP43	30	650
NAB2	16	384
RPS2	2	2
CWC23	6	29
CEG1	3	6
SEC27	28	308
GPI10	14	220
TIP20	28	526
INO80	61	1737
CDC43	13	216
CUP2	26	1373
SUA5	13	121
ROK1	13	193
NUP49	20	518
ATG1	57	1493
MCM6	62	1068
SPT16	19	520
VRG4	7	139
SEC15	25	257
CSE1	28	361
YGL239C	11	232
GUS1	19	272
BRR6	5	48
SWC4	50	2376
TFG2	19	201
SEC9	16	372
SNU71	58	934
THG1	3	5
ERV1	7	89
POP6	9	142
TAM41	24	363
TFC4	32	994
UFD1	14	315
ERG25	14	356
VHT1	27	546
YGR073C	4	15
SMD1	2	2
PRP38	1	0
TOM20	9	153
GCD2	13	229
UTP22	15	109
PRP31	31	704
VAS1	51	961
RRP46	7	21
ESP1	23	245
TEL2	15	437
NOP7	17	190
DAM1	18	372
YGR114C	10	164
YGR115C	4	43
SPT6	42	915
NUP57	17	162
COG2	6	137
UTP8	12	49
CBF2	30	846
ENP2	35	746
NAT2	21	270
PTI1	8	87
MTR3	10	442
YIP1	6	20
ERG1	13	126
OKP1	25	397
TYS1	12	216
TFG1	22	340
YGR190C	1	0
HIP1	22	468
SKI6	9	131
YPP1	20	515
ZPR1	17	424
GPI1	17	326
CRM1	28	428
LSC2	57	1844
SDA1	34	687
BRF1	28	644
NOP19	11	180
PUP2	15	267
MES1	21	1033
YGR265W	16	770
FOL2	13	172
TAF1	29	565
CAB4	6	21
CWC22	19	556
PXR1	12	250
PAU12	30	407
RPS20	0	0
ARN2	36	640
TIM10	10	233
ERG11	17	62
SPO13	34	785
DED81	17	377
YHR020W	23	265
MYO1	71	1501
MAS2	13	62
BRL1	22	506
BCD1	40	875
NCP1	28	308
CPR2	46	2291
MED6	21	888
RPP1	7	117
RRP3	16	230
DYS1	32	971
RRP4	11	59
TRM5	21	572
